themeCode,themeName,stockCode,stockName,info
108,"백신/진단시약/방역(신종플루, AI 등)",A185490,아이진,"노화 관련 성인 질환의 예방 및 치료 의약품 연구개발을 주요사업으로 하는 바이오의약품 생산업체. 단백질체학과 면역학을 기반으로 하는 만성허혈질환 관련 치료기술(당뇨망막증 치료제, 욕창 치료제, 심근허혈/재관류손상치료제)과 예방 백신 관련 원천기술(자궁경부암 예방 백신, 대상포진 예방 백신, 면역보조제) 확보."
108,"백신/진단시약/방역(신종플루, AI 등)",A142760,바이오리더스,바이오신약 및 소재 개발 업체. 점막면역을 통한 생체 내 면역반응을 강화시키는 생리활성물질인 γ-PGA를 이용한 HumaMax™ Technology(의약 신소재 γ-PGA 이용 기술)와 유산균을 활용한 플랫폼 기술인 MucoMax™ Technology(경구용 점막면역 백신 개발 플렛폼 기술)를 기반으로 하여 바이오신약 개발.
108,"백신/진단시약/방역(신종플루, AI 등)",A086060,진바이오텍,자회사 (주)다원케미칼을 통해 동물질병예방치료제 및 배합사료용 첨가제 등에 적용되는 동물약품을 생산 및 판매중.
108,"백신/진단시약/방역(신종플루, AI 등)",A128940,한미약품,"의약품 제조 업체로 독감치료제 한미플루 생산, 판매 중."
108,"백신/진단시약/방역(신종플루, AI 등)",A051910,LG화학,"LG그룹 계열의 국내 대표적인 화학기업으로 17년1월 바이오의약품 전문 제약업체 LG생명과학 흡수합병을 통해 생명과학사업 진출. 성장호르몬제, 관절염치료제, 당뇨병치료제, 백신 등의 의약품 사업 영위."
108,"백신/진단시약/방역(신종플루, AI 등)",A206650,유바이오로직스,"백신 개발 및 공급 사업과 바이오의약품에 대한 CRMO(수탁 연구 및 제조) 사업 영위. 주요 제품으로는 경구용 콜레라백신 치료제 '유비콜'이 있으며, '유비콜'의 제품화 경험 및 노하우와 자체기술로 확립한 접합 단백질(CRM197)을 기반으로 장티푸스 백신, 폐렴구균 백신 등 국내외 시장을 겨냥한 세균 백신을 개발하고 있음. 동물용 신약 전문 개발 회사 벡스퍼트 지분 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A241820,피씨엘,"면역진단용 체외진단 의료기기 개발, 제조업체.  헌혈전 선별 다중진단 스크리닝 제품인 Hi3 시리즈를 개발했으며, 신속진단 제품인 Ai(인플루엔자 A/B 진단) 및 Cancer(다중암진단키트) 개발 진행 중. 코로나바이러스 등 중증 급성호흡기 현장진단시스템을 개발해 특허를 출원했으며, 상용화를 앞두고 있음."
108,"백신/진단시약/방역(신종플루, AI 등)",A285130,SK케미칼,"B형간염, 수두, DTP(디프테리아, 파상풍, 백일해), 소아마비, MMR(홍역, 유행성이하선염, 풍진), Td(파상풍, 디프테리아) 등 국가필수 예방접종 백신과 뇌수막염, 독감 백신 등 기본적인 백신 제품을 생산/판매중. 또한 “인플루엔자 등 백신원료 맞춤형 생산지원사업” 참여기업으로 선정."
108,"백신/진단시약/방역(신종플루, AI 등)",A153710,옵티팜,"동물질병진단사업(가축병성감정), 동물약품 유통사업 및 박테리오파지사업(사료첨가제 제조,판매) 등을 영위하는 업체. 신사업부문으로 VLP(virus like particle) 기반의 동물용 복합 백신 연구개발 등을 진행중."
108,"백신/진단시약/방역(신종플루, AI 등)",A009290,광동제약,"한방제품 및 건강음료 전문 제약업체. GSK(글락소스미스클라인)로 부터 신플로릭스(폐렴구균백신), 로타릭스(로타바이러스백신), 인판릭스-IPV(DTPa-IPV백신) 등 9개 백신 제품의 국내 판매 및 유통을 진행."
